plant.species,Family,Genus,Sp2,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,reference,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil,sugar.concentration,pollen.flower
Teucrium botrys,Lamiaceae,Teucrium,botrys,N,biotic,3,6,herb,0.2,,1,gullet,sigomorph,1,1,0,NA,NA
Teucrium chamaedrys,Lamiaceae,Teucrium,chamaedrys,N,biotic,3,6,shrub,0.5,,1,gullet,sigomorph,1,1,0,61.02,NA
Teucrium hircanicum,Lamiaceae,Teucrium,hircanicum,E,biotic,3,7,shrub,0.53,,1,gullet,sigomorph,1,1,0,NA,NA
Teucrium scorodonia,Lamiaceae,Teucrium,scorodonia,N,biotic,2,6,herb,0.5,,1,gullet,sigomorph,1,1,0,173.61,NA
Tetradium glabrifolium,Rutaceae,Tetradium,glabrifolium,E,biotic,4,6,shrub/tree,20,efloras.org,1,NA,actinomorph,NA,NA,NA,NA,NA
Tilia americana,Malvaceae,Tilia,americana,E,biotic,1,6,tree,19.8,,1,dish_bowl,actinomorph,1,1,NA,NA,NA
Tilia dasystyla,Malvaceae,Tilia,dasystyla,E,biotic,1,6,tree,35,baumkunde.de,1,dish_bowl,actinomorph,NA,NA,NA,NA,NA
Tilia hyrcana,Malvaceae,Tilia,hyrcana,E,biotic,NA,NA,tree,NA,,1,dish_bowl,actinomorph,NA,NA,NA,NA,NA
Tilia oliveri,Malvaceae,Tilia,oliveri,E,biotic,3,6,tree,16,,1,dish_bowl,actinomorph,NA,NA,NA,NA,NA
Tilia platyphyllos,Malvaceae,Tilia,platyphyllos,N,biotic,1,6,tree,35,,1,dish_bowl,actinomorph,1,1,0,27.52857143,NA
Tilia tomentosa,Malvaceae,Tilia,tomentosa,N,biotic,2,6,tree,18,,1,dish_bowl,actinomorph,1,1,0,25.9,NA
Tilia x euchlora,Malvaceae,Tilia,x euchlora,E,biotic,2,5,tree,15,,1,dish_bowl,actinomorph,1,1,0,NA,NA
Trifolium alpestre,Fabaceae,Trifolium,alpestre,N,biotic,3,6,herb,0.11,,1,flag,sigomorph,1,1,0,NA,NA
Trifolium cernuum,Fabaceae,Trifolium,cernuum,E,biotic,2,5,herb,0.4,oregonflora.org,NA,flag,sigomorph,1,1,0,NA,NA
Trifolium hybridum,Fabaceae,Trifolium,hybridum,E,biotic,5,5,herb,0.4,,1,flag,sigomorph,1,1,0,48.26,NA
Trifolium ochroleucon,Fabaceae,Trifolium,ochroleucon,N,biotic,2,6,herb,0.6,,1,flag,sigomorph,1,1,0,NA,NA
Trifolium pratense,Fabaceae,Trifolium,pratense,N,biotic,6,5,herb,1,,1,flag,sigomorph,1,1,0,45.81712329,NA
Trifolium repens,Fabaceae,Trifolium,repens,N,biotic,5,5,herb,0.15,,1,flag,sigomorph,1,1,0,44.5875,NA
