In.Buffer.1500,Taxon.ID,Gruppe,Trivialname,Taxon,Link.zum.Taxon,Gemeinde.n.,Kanton.e.,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche.Zusammenfassung,Anzahl,n.Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter.in..Sammler.in,ID.Beobachtung,Rote.Liste,Priorität.CH,UZL,WZL,Massnahmebedarf,Monitoring.Bedarf,NHV,SMARAGD,infoflora..Kantonaler.Schutzstatus,infoflora..Rote.Liste.regional,Habitat,Substrat,swisslichens..Ecotyp,Ordnung,Familie,swissfungi..funktionelle.Gruppe,Indigenat.CH,Standortfremd,Einführung
x,infoflora:165200,Gefässpflanzen,Gemeiner Windenknöterich,Fallopia convolvulus (L.) Á. Löve,www.infoflora.ch/flora/1018870,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285360,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Polygonaceae,NA,INN,NA,
x,infoflora:166100,Gefässpflanzen,Rohr-Schwingel,Festuca arundinacea Schreb.,www.infoflora.ch/flora/1019020,Uesslingen-Buch,TG,"Uesslingen-Buch. Thur, westlich Uesslingerbrücke,. Flussdamm",380,2704000,1270000,1000,A,,NA,1990,6,4,NA,Naturmuseum Thurgau,Grädel,6484685,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:166100,Gefässpflanzen,Rohr-Schwingel,Festuca arundinacea Schreb.,www.infoflora.ch/flora/1019020,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285361,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:167400,Gefässpflanzen,Riesen-Schwingel,Festuca gigantea (L.) Vill.,www.infoflora.ch/flora/1019130,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285362,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:169100,Gefässpflanzen,Wiesen-Schwingel,Festuca pratensis Huds.,www.infoflora.ch/flora/1019380,Uesslingen-Buch,TG,"Uesslingen-Buch. Thur, westlich Uesslingerbrücke,. Flussdamm",380,2704000,1270000,1000,A,,NA,1990,6,4,NA,Naturmuseum Thurgau,Grädel,6484684,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:169100,Gefässpflanzen,Wiesen-Schwingel,Festuca pratensis Huds.,www.infoflora.ch/flora/1019380,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285364,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:170200,Gefässpflanzen,Rot-Schwingel,Festuca rubra aggr.,www.infoflora.ch/flora/1019470,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285365,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Poaceae,NA,INN,NA,
x,infoflora:173100,Gefässpflanzen,Moor-Geissbart,Filipendula ulmaria (L.) Maxim.,www.infoflora.ch/flora/1019770,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285366,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Rosaceae,NA,INN,NA,
x,infoflora:173800,Gefässpflanzen,Wald-Erdbeere,Fragaria vesca L.,www.infoflora.ch/flora/1019920,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285367,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Rosaceae,NA,INN,NA,
x,infoflora:174200,Gefässpflanzen,Gemeine Esche,Fraxinus excelsior L.,www.infoflora.ch/flora/1019970,Uesslingen-Buch,TG,,,2704500,1272500,707,B,,NA,2010,5,3,NA,Kanton Thurgau,Schach Johannes,4285368,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Oleaceae,NA,INN,NA,
