In.Buffer.1500,Taxon.ID,Gruppe,Trivialname,Taxon,Link.zum.Taxon,Gemeinde.n.,Kanton.e.,Fundort,Höhe,Koordx,Koordy,Radius,Räumliche.Zusammenfassung,Anzahl,n.Nachweise,Jahr,Monat,Tag,Fortpflanzungsnachweis,Herkunft,Beobachter.in..Sammler.in,ID.Beobachtung,Rote.Liste,Priorität.CH,UZL,WZL,Massnahmebedarf,Monitoring.Bedarf,NHV,SMARAGD,infoflora..Kantonaler.Schutzstatus,infoflora..Rote.Liste.regional,Habitat,Substrat,swisslichens..Ecotyp,Ordnung,Familie,swissfungi..funktionelle.Gruppe,Indigenat.CH,Standortfremd,Einführung
x,infoflora:24800,Gefässpflanzen,Bärlauch,Allium ursinum L.,www.infoflora.ch/flora/1002790,Ferenbalm,BE,Oberi Gümmenenau. Exposition: NW; Hauptvegetation: artenreiche Fettwiese mit Magerzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,477-478,2584979,1198096,5,A,,NA,2005,5,20,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,481013,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Amaryllidaceae,NA,INN,NA,
x,infoflora:24800,Gefässpflanzen,Bärlauch,Allium ursinum L.,www.infoflora.ch/flora/1002790,Ferenbalm,BE,,,2584500,1197500,707,B,,NA,2015,6,25,NA,"Info Flora, Sandra Reinhard",Reinhard Sandra,4650803,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Amaryllidaceae,NA,INN,NA,
x,infoflora:25200,Gefässpflanzen,Schwarz-Erle,Alnus glutinosa (L.) Gaertn.,www.infoflora.ch/flora/1002840,Ferenbalm,BE,"Ferenbalm, Spierstaudenried. Objektnr. Moorinventar: 15155",503-514,2584071,1196955,51,A,Deckung 0.01-0.1 % (einzelne Individuen),NA,2014,6,17,NA,Kanton Bern (Abteilung Naturförderung),Al Jabaji Dunja,11258483,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Betulaceae,NA,INN,NA,
x,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Mühleberg,BE,"Saane, Laupenau",480,2584930,1196620,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1564225,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Betulaceae,NA,INN,NA,
x,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Mühleberg,BE,"Saane, Laupenau",480,2584920,1196720,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1564223,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Betulaceae,NA,INN,NA,
x,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Mühleberg,BE,"Saane, Laupenau",480,2584830,1196960,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1564221,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Betulaceae,NA,INN,NA,
x,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Mühleberg,BE,"Saane, Laupenau",480,2584850,1197010,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1564219,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Betulaceae,NA,INN,NA,
x,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Mühleberg,BE,"Saane, Laupenau",480,2584920,1196720,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1570845,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Betulaceae,NA,INN,NA,
x,infoflora:25300,Gefässpflanzen,Grau-Erle,Alnus incana (L.) Moench,www.infoflora.ch/flora/1002850,Mühleberg,BE,"Saane, Laupenau",480,2584830,1196960,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1570833,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Betulaceae,NA,INN,NA,
x,infoflora:29700,Gefässpflanzen,Acker-Gauchheil,Anagallis arvensis L.,www.infoflora.ch/flora/1003380,Ferenbalm,BE,,475,2584985,1198430,4,A,,NA,2020,6,21,NA,"Info Flora, Adrian Möhl",Möhl Adrian,9093324,LC,K,L,,NA,NA,,NA,,LC,,NA,NA,NA,Primulaceae,NA,INN,NA,
x,infoflora:33600,Gefässpflanzen,Busch-Windröschen,Anemone nemorosa L.,www.infoflora.ch/flora/1003770,Mühleberg,BE,"Saane, Laupenau",480,2584920,1196720,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1606555,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:33600,Gefässpflanzen,Busch-Windröschen,Anemone nemorosa L.,www.infoflora.ch/flora/1003770,Mühleberg,BE,"Saane, Laupenau",480,2584930,1196620,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1606620,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:33600,Gefässpflanzen,Busch-Windröschen,Anemone nemorosa L.,www.infoflora.ch/flora/1003770,Laupen,BE,Oberi Gümmenenau. Exposition: NW; Hauptvegetation: artenreiche Fettwiese mit Magerzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,478,2584878,1197826,5,A,,NA,2005,5,13,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,480072,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:33600,Gefässpflanzen,Busch-Windröschen,Anemone nemorosa L.,www.infoflora.ch/flora/1003770,Ferenbalm,BE,Oberi Gümmenenau. Exposition: NW; Hauptvegetation: artenreiche Fettwiese mit Magerzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,477-478,2584979,1198096,5,A,,NA,2005,5,20,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,481039,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:33600,Gefässpflanzen,Busch-Windröschen,Anemone nemorosa L.,www.infoflora.ch/flora/1003770,Laupen,BE,Laupenau. Exposition: W; Hauptvegetation: Halbtrockenrasen mit Fettzeigern und Saumarten; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,478,2584692,1197087,5,A,,NA,2005,5,13,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,480132,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:33600,Gefässpflanzen,Busch-Windröschen,Anemone nemorosa L.,www.infoflora.ch/flora/1003770,Laupen,BE,Laupenau. Exposition: SE; Hauptvegetation: Halbtrockenrasen mit Fettzeigern; Verbuschung: 0 - 3 %; Hauptnutzung: Mähwiese oder Mähweide.,484,2584613,1196098,5,A,,NA,2005,5,13,NA,BAFU / OFEV / UFAM (TWW - PPS),Styner Eva,480182,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:33600,Gefässpflanzen,Busch-Windröschen,Anemone nemorosa L.,www.infoflora.ch/flora/1003770,Kriechenwil,BE,,529,2583441,1196198,4,A,,NA,2020,3,19,NA,"Info Flora, Adrian Möhl",Möhl Adrian,8778604,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:33600,Gefässpflanzen,Busch-Windröschen,Anemone nemorosa L.,www.infoflora.ch/flora/1003770,Kriechenwil,BE,,518,2583117,1197268,6,A,,NA,2020,3,19,NA,"Info Flora, Adrian Möhl",Möhl Adrian,8778584,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:33700,Gefässpflanzen,Gelbes Windröschen,Anemone ranunculoides L.,www.infoflora.ch/flora/1003780,Mühleberg,BE,"Saane, Laupenau",480,2584930,1196620,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1606629,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
x,infoflora:33700,Gefässpflanzen,Gelbes Windröschen,Anemone ranunculoides L.,www.infoflora.ch/flora/1003780,Mühleberg,BE,"Saane, Laupenau",480,2584920,1196720,50,A,,NA,1996,NA,NA,NA,Université de Neuchâtel,Roulier Christian,1606550,LC,K,,,NA,NA,,NA,,LC,,NA,NA,NA,Ranunculaceae,NA,INN,NA,
